HDR,ROLLING SYSTEM DEMAND
VD,20211013223500,24402
VD,20211013224000,24149
VD,20211013224500,23864
VD,20211013225000,23715
VD,20211013225500,23533
VD,20211013230000,23353
VD,20211013230500,23302
VD,20211013231000,23237
VD,20211013231500,23122
VD,20211013232000,23006
VD,20211013232500,22918
VD,20211013233000,22789
VD,20211013233500,22831
VD,20211013234000,22860
VD,20211013234500,22851
VD,20211013235000,22840
VD,20211013235500,22839
VD,20211014000000,22884
VD,20211014000500,23019
VD,20211014001000,23210
VD,20211014001500,23281
VD,20211014002000,23252
VD,20211014002500,23220
VD,20211014003000,23168
VD,20211014003500,23206
VD,20211014004000,23186
VD,20211014004500,23191
VD,20211014005000,23202
VD,20211014005500,23137
VD,20211014010000,23080
VD,20211014010500,23049
VD,20211014011000,22957
VD,20211014011500,22954
VD,20211014012000,23075
VD,20211014012500,23074
VD,20211014013000,23035
VD,20211014013500,23010
VD,20211014014000,22902
VD,20211014014500,22709
VD,20211014015000,22619
VD,20211014015500,22669
VD,20211014020000,22616
VD,20211014020500,22646
VD,20211014021000,22655
VD,20211014021500,22677
VD,20211014022000,22637
VD,20211014022500,22678
VD,20211014023000,22542
VD,20211014023500,22475
VD,20211014024000,22476
VD,20211014024500,22527
VD,20211014025000,22488
VD,20211014025500,22397
VD,20211014030000,22379
VD,20211014030500,22169
VD,20211014031000,22203
VD,20211014031500,22233
VD,20211014032000,22262
VD,20211014032500,22265
VD,20211014033000,22234
VD,20211014033500,22180
VD,20211014034000,22236
VD,20211014034500,22230
VD,20211014035000,22232
VD,20211014035500,22129
VD,20211014040000,22084
VD,20211014040500,22112
VD,20211014041000,22266
VD,20211014041500,22294
VD,20211014042000,22268
VD,20211014042500,22347
VD,20211014043000,22415
VD,20211014043500,22698
VD,20211014044000,22958
VD,20211014044500,23189
VD,20211014045000,23530
VD,20211014045500,23954
VD,20211014050000,24069
VD,20211014050500,24407
VD,20211014051000,24917
VD,20211014051500,25366
VD,20211014052000,25656
VD,20211014052500,25969
VD,20211014053000,26272
VD,20211014053500,26787
VD,20211014054000,27265
VD,20211014054500,27588
VD,20211014055000,27938
VD,20211014055500,28355
VD,20211014060000,28796
VD,20211014060500,29534
VD,20211014061000,30091
VD,20211014061500,30289
VD,20211014062000,30514
VD,20211014062500,30797
VD,20211014063000,31029
VD,20211014063500,31233
VD,20211014064000,31538
VD,20211014064500,31730
VD,20211014065000,31975
VD,20211014065500,32130
VD,20211014070000,32203
VD,20211014070500,32329
VD,20211014071000,32458
VD,20211014071500,32600
VD,20211014072000,32773
VD,20211014072500,32991
VD,20211014073000,32967
VD,20211014073500,32872
VD,20211014074000,32788
VD,20211014074500,32769
VD,20211014075000,32821
VD,20211014075500,32802
VD,20211014080000,32819
VD,20211014080500,32853
VD,20211014081000,32934
VD,20211014081500,32875
VD,20211014082000,32794
VD,20211014082500,32771
VD,20211014083000,32745
VD,20211014083500,32701
VD,20211014084000,32638
VD,20211014084500,32534
VD,20211014085000,32539
VD,20211014085500,32443
VD,20211014090000,32381
VD,20211014090500,32365
VD,20211014091000,32324
VD,20211014091500,32284
VD,20211014092000,32256
VD,20211014092500,32200
VD,20211014093000,32196
VD,20211014093500,32145
VD,20211014094000,32008
VD,20211014094500,31891
VD,20211014095000,31861
VD,20211014095500,31788
VD,20211014100000,31635
VD,20211014100500,31505
VD,20211014101000,29276
VD,20211014101500,31391
VD,20211014102000,31212
VD,20211014102500,31216
VD,20211014103000,31186
VD,20211014103500,31173
VD,20211014104000,31149
VD,20211014104500,31159
VD,20211014105000,30979
VD,20211014105500,30833
VD,20211014110000,30857
VD,20211014110500,31116
VD,20211014111000,31117
VD,20211014111500,31152
VD,20211014112000,31201
VD,20211014112500,31291
VD,20211014113000,31214
VD,20211014113500,31131
VD,20211014114000,31149
VD,20211014114500,31093
VD,20211014115000,31035
VD,20211014115500,30961
VD,20211014120000,30811
VD,20211014120500,30934
VD,20211014121000,30830
VD,20211014121500,30820
VD,20211014122000,30834
VD,20211014122500,30782
VD,20211014123000,30749
VD,20211014123500,30696
VD,20211014124000,30648
VD,20211014124500,30600
VD,20211014125000,30658
VD,20211014125500,30605
VD,20211014130000,30492
VD,20211014130500,30479
VD,20211014131000,30489
VD,20211014131500,30530
VD,20211014132000,30613
VD,20211014132500,30669
VD,20211014133000,30651
VD,20211014133500,30679
VD,20211014134000,30772
VD,20211014134500,30779
VD,20211014135000,30805
VD,20211014135500,30800
VD,20211014140000,30763
VD,20211014140500,30779
VD,20211014141000,30885
VD,20211014141500,31005
VD,20211014142000,30955
VD,20211014142500,31045
VD,20211014143000,31116
VD,20211014143500,31194
VD,20211014144000,31233
VD,20211014144500,31403
VD,20211014145000,31528
VD,20211014145500,31613
VD,20211014150000,31755
VD,20211014150500,31896
VD,20211014151000,32081
VD,20211014151500,32306
VD,20211014152000,32583
VD,20211014152500,32701
VD,20211014153000,32909
VD,20211014153500,33179
VD,20211014154000,33374
VD,20211014154500,33706
VD,20211014155000,33985
VD,20211014155500,34247
VD,20211014160000,34529
VD,20211014160500,34657
VD,20211014161000,34762
VD,20211014161500,34834
VD,20211014162000,35051
VD,20211014162500,35212
VD,20211014163000,35287
VD,20211014163500,35380
