donor_id,donation_amount,donation_date,account_type,donation_source
0014T00000G8WCL,15,2021-09-02,Core,Website
0014T00000Ayy4m,20,2021-11-10,Core,Website
0014T000004yLGS,12,2022-04-21,Core,Ads
0014T000004xaRS,5,2021-03-15,Core,Website
0014T00000G8WCL,15,2021-10-02,Core,Website
0014T00000IYLaI,25.75,2021-05-13,Core,Ads
0014T00000Ayy4m,20,2021-12-10,Core,Website
0014T00000G8WCL,15,2021-11-02,Core,Website
0014T00000IYLaI,25.75,2021-06-13,Core,Ads
0014T000004xaVZ,38,2022-03-26,Mid-Level,Email
0014T00000Ayy4m,20,2022-01-10,Core,Website
0014T00000IYLaI,25.75,2021-07-13,Core,Ads
0014T000004xaVZ,38,2022-04-26,Mid-Level,Email
0014T00000Ayy4m,20,2022-02-10,Core,Website
0014T000004xaVZ,38,2022-05-26,Mid-Level,Email
0014T00000Ayy4m,20,2022-03-10,Core,Website
0014T00000MUbzv,25,2022-05-18,Core,Ads
0014T000004xZ2W,15,2021-01-16,Core,Website
0014T00000N7nWg,25.75,2021-12-01,Core,Website
0014T00000Ayy4m,20,2022-04-10,Core,Website
0014T000004xZ2W,15,2021-02-16,Core,Website
0014T00000N7nWg,25.75,2021-11-01,Core,Website
0014T00000Ayy4m,20,2022-05-10,Core,Website
0014T00000N6nBh,10,2022-05-18,Core,Ads
0014T000004xZ2W,15,2021-03-16,Core,Website
0014T00000MTsfx,12,2022-01-10,Core,Email
0014T00000EHBcg,15.45,2022-04-26,Core,Ads
0014T000004xZ2W,15,2021-04-16,Core,Website
0014T000004yJhN,38,2021-07-27,Core,Direct Mail
0014T000004xZ2W,15,2021-05-16,Core,Website
0014T000004yJhN,38,2021-08-27,Core,Direct Mail
0014T00000N7o4L,51.5,2022-02-01,Core,Website
0014T000004yJhN,38,2021-09-27,Core,Direct Mail
0014T00000N984c,50,2022-03-16,Core,Website
0014T00000G8q9t,12,2021-04-02,Core,Ads
0014T00000Az59a,10,2022-05-02,Core,Email
0014T00000GAPeN,100,2021-05-09,Mid-Level,Website
0014T000004yJhN,38,2021-10-27,Core,Direct Mail
0014T00000G8q9t,12,2021-05-02,Core,Ads
0014T00000N7wbU,15.45,2022-05-02,Core,Website
0014T00000GAPeN,100,2021-06-09,Mid-Level,Website
0014T00000N8HMr,111.24,2021-12-04,Core,Website
0014T000004yJhN,38,2021-11-27,Core,Direct Mail
0014T00000G8q9t,12,2021-06-02,Core,Ads
0014T00000GAPeN,100,2022-04-09,Mid-Level,Website
0014T00000N8HMr,111.24,2021-11-04,Core,Website
0014T000004yJhN,38,2021-12-27,Core,Direct Mail
0014T00000G8q9t,12,2021-07-02,Core,Ads
0014T00000GAPeN,100,2022-05-09,Mid-Level,Website
0014T00000N8S6h,77.25,2022-01-06,Core,Website
0014T000004yJhN,38,2022-01-27,Core,Direct Mail
0014T00000N7o4Z,103,2022-02-01,Core,Website
0014T000004x9aw,25,2022-02-24,Core,Website
0014T000008Tcrt,12,2021-12-06,Core,Ads
0014T00000N8PWP,51.5,2022-03-05,Core,Website
