HDR,ROLLING SYSTEM DEMAND,DEMAND
VD,2.02109E+13,27540
VD,2.02109E+13,27762
VD,2.02109E+13,28031
VD,2.02109E+13,28264
VD,2.02109E+13,28395
VD,2.02109E+13,28616
VD,2.02109E+13,28785
VD,2.02109E+13,29062
VD,2.02109E+13,29300
VD,2.02109E+13,29459
VD,2.02109E+13,29726
VD,2.02109E+13,30133
VD,2.02109E+13,30391
VD,2.02109E+13,30645
VD,2.02109E+13,30864
VD,2.02109E+13,31394
VD,2.02109E+13,31690
VD,2.02109E+13,31967
VD,2.02109E+13,31976
VD,2.02109E+13,32183
VD,2.02109E+13,32355
VD,2.02109E+13,32372
VD,2.02109E+13,32439
VD,2.02109E+13,32582
VD,2.02109E+13,32665
VD,2.02109E+13,32820
VD,2.02109E+13,32999
VD,2.02109E+13,32921
VD,2.02109E+13,32929
VD,2.02109E+13,33037
VD,2.02109E+13,32944
VD,2.02109E+13,33041
VD,2.02109E+13,33202
VD,2.02109E+13,33278
VD,2.02109E+13,33293
VD,2.02109E+13,33490
VD,2.02109E+13,33611
VD,2.02109E+13,33703
VD,2.02109E+13,33801
VD,2.02109E+13,33724
VD,2.02109E+13,33739
VD,2.02109E+13,33708
VD,2.02109E+13,33505
VD,2.02109E+13,33365
VD,2.02109E+13,33220
VD,2.02109E+13,32907
VD,2.02109E+13,32601
VD,2.02109E+13,32796
VD,2.02109E+13,32729
VD,2.02109E+13,32454
VD,2.02109E+13,32149
VD,2.02109E+13,31862
VD,2.02109E+13,31656
VD,2.02109E+13,31546
VD,2.02109E+13,31422
VD,2.02109E+13,31315
VD,2.02109E+13,31053
VD,2.02109E+13,30806
VD,2.02109E+13,30521
VD,2.02109E+13,30291
VD,2.02109E+13,30012
VD,2.02109E+13,29724
VD,2.02109E+13,29379
VD,2.02109E+13,29083
VD,2.02109E+13,28801
VD,2.02109E+13,28456
VD,2.02109E+13,28121
VD,2.02109E+13,27893
VD,2.02109E+13,27721
VD,2.02109E+13,27415
VD,2.02109E+13,27069
VD,2.02109E+13,27074
VD,2.02109E+13,26923
VD,2.02109E+13,26678
VD,2.02109E+13,26424
VD,2.02109E+13,26158
VD,2.02109E+13,25900
VD,2.02109E+13,25684
VD,2.02109E+13,25524
VD,2.02109E+13,25330
VD,2.02109E+13,25012
VD,2.02109E+13,24495
VD,2.02109E+13,24179
VD,2.02109E+13,24212
VD,2.02109E+13,24236
VD,2.02109E+13,23981
VD,2.02109E+13,23508
VD,2.02109E+13,23560
VD,2.02109E+13,23425
VD,2.02109E+13,23191
VD,2.02109E+13,23054
VD,2.02109E+13,22842
VD,2.02109E+13,22779
VD,2.02109E+13,22188
VD,2.02109E+13,21960
VD,2.02109E+13,21820
VD,2.02109E+13,21801
VD,2.02109E+13,21705
VD,2.02109E+13,21658
VD,2.02109E+13,21609
VD,2.02109E+13,21630
VD,2.02109E+13,21632
VD,2.02109E+13,21455
VD,2.02109E+13,21271
VD,2.02109E+13,21101
VD,2.02109E+13,21078
VD,2.02109E+13,20954
VD,2.02109E+13,20981
VD,2.02109E+13,21042
VD,2.02109E+13,21038
VD,2.02109E+13,21016
VD,2.02109E+13,20958
VD,2.02109E+13,21043
VD,2.02109E+13,21145
VD,2.02109E+13,20940
VD,2.02109E+13,20984
VD,2.02109E+13,20952
VD,2.02109E+13,20900
VD,2.02109E+13,20982
VD,2.02109E+13,21092
VD,2.02109E+13,20964
VD,2.02109E+13,20929
VD,2.02109E+13,20847
VD,2.02109E+13,20841
VD,2.02109E+13,20799
VD,2.02109E+13,20766
VD,2.02109E+13,20723
VD,2.02109E+13,20710
VD,2.02109E+13,20611
VD,2.02109E+13,20542
VD,2.02109E+13,20545
VD,2.02109E+13,20537
VD,2.02109E+13,20623
VD,2.02109E+13,20765
VD,2.02109E+13,20744
VD,2.02109E+13,20755
VD,2.02109E+13,20795
VD,2.02109E+13,20771
VD,2.02109E+13,20817
VD,2.02109E+13,20826
VD,2.02109E+13,20731
VD,2.02109E+13,20604
VD,2.02109E+13,20497
VD,2.02109E+13,20346
VD,2.02109E+13,20278
VD,2.02109E+13,20314
VD,2.02109E+13,20356
VD,2.02109E+13,20146
VD,2.02109E+13,20112
VD,2.02109E+13,19959
VD,2.02109E+13,19942
VD,2.02109E+13,19944
VD,2.02109E+13,19922
VD,2.02109E+13,19932
VD,2.02109E+13,19888
VD,2.02109E+13,19939
VD,2.02109E+13,19960
VD,2.02109E+13,20044
VD,2.02109E+13,20048
VD,2.02109E+13,20050
VD,2.02109E+13,20115
VD,2.02109E+13,20349
VD,2.02109E+13,20552
VD,2.02109E+13,20772
VD,2.02109E+13,21092
VD,2.02109E+13,21375
VD,2.02109E+13,21665
VD,2.02109E+13,22081
VD,2.02109E+13,22554
VD,2.02109E+13,23091
VD,2.02109E+13,23471
VD,2.02109E+13,23851
VD,2.02109E+13,24217
VD,2.02109E+13,24661
VD,2.02109E+13,25255
VD,2.02109E+13,25540
VD,2.02109E+13,25850
VD,2.02109E+13,26196
VD,2.02109E+13,26678
VD,2.02109E+13,27339
VD,2.02109E+13,28107
VD,2.02109E+13,28579
VD,2.02109E+13,28791
VD,2.02109E+13,29022
VD,2.02109E+13,29006
VD,2.02109E+13,29009
VD,2.02109E+13,29280
VD,2.02109E+13,29539
VD,2.02109E+13,29763
VD,2.02109E+13,29847
VD,2.02109E+13,30038
VD,2.02109E+13,30297
VD,2.02109E+13,30504
VD,2.02109E+13,30642
VD,2.02109E+13,30678
VD,2.02109E+13,30790
VD,2.02109E+13,30875
VD,2.02109E+13,30853
VD,2.02109E+13,30844
VD,2.02109E+13,30925
VD,2.02109E+13,31008
VD,2.02109E+13,31031
VD,2.02109E+13,31080
VD,2.02109E+13,31117
VD,2.02109E+13,31114
VD,2.02109E+13,31038
VD,2.02109E+13,31032
VD,2.02109E+13,30869
VD,2.02109E+13,30705
VD,2.02109E+13,30632
VD,2.02109E+13,30708
VD,2.02109E+13,30669
VD,2.02109E+13,30666
VD,2.02109E+13,30676
VD,2.02109E+13,30728
VD,2.02109E+13,30799
VD,2.02109E+13,30768
VD,2.02109E+13,30647
VD,2.02109E+13,30583
VD,2.02109E+13,30526
VD,2.02109E+13,30454
VD,2.02109E+13,30445
VD,2.02109E+13,30344
VD,2.02109E+13,30251
VD,2.02109E+13,30232
VD,2.02109E+13,30284
VD,2.02109E+13,30209
VD,2.02109E+13,30147
VD,2.02109E+13,30158
VD,2.02109E+13,30184
VD,2.02109E+13,30139
VD,2.02109E+13,30033
VD,2.02109E+13,29965
VD,2.02109E+13,29998
